,Name Romaji,Name Native,Name English,Synonyms,Volume Count,Start Date,Start Year,Popularity,Favorites,Source,Genre_One,Genre_Two,Genre_Three,Tag_One,Tag_Two,Tag_Three,Rating Rank,Popularity Rank,Has Anime,Anime Release Date,Name Word Count,Link,Average Rating,Adaptation,Status_Cancelled,Status_Finished,Status_Hiatus,Status_Not Yet Released,Status_Releasing
18,Fushisha no Deshi,不死者の弟子,Disciple of the Lich: Or How I Was Cursed by the Gods and Dropped Into the Abyss!,"The Disciple of Lich
Disciple of Immortal
The Disciple of Lich: This is Heroic Tale of Mine That I Incurred Evil God’s Displeasure and Dropped to the Abyss",3.288627450980392,"May 25, 2020",2020.0,321.0,12.0,1,2,4,1,No Tag,No Tag,No Tag,0,0,False,2014.0,3.0,https://anilist.co/manga/123151/Fushisha-no-Deshi/,74.58333333333333,0.0,0,0,0,0,1
19,Tsuyokute New Saga,強くてニューサーガ,Be Stronger! New Saga,พลิกตำนานวีรชน NEW SAGA,10.0,"Mar 22, 2013",2013.0,321.0,3.0,1,3,2,4,No Tag,No Tag,No Tag,0,0,False,2014.0,3.0,https://anilist.co/manga/86140/Tsuyokute-New-Saga/,63.673469387755105,0.0,0,1,0,0,0
20,Medaka Box: Juvenile - Shousetsu-ban,めだかボックス ジュブナイル 小説版,Medaka Box: Juvenile - Shousetsu-ban,Medaka Box Juvenile: Novel Version,1.0,"Oct 13, 2013",2013.0,321.0,3.0,6,3,0,0,No Tag,No Tag,No Tag,0,0,False,2014.0,5.0,https://anilist.co/manga/91862/Medaka-Box-Juvenile--Shousetsuban/,70.52631578947368,0.0,0,1,0,0,0
21,Natsume Yuujinchou,小説・夏目友人帳,Natsume Yuujinchou,"Natsume Yuujinchou Novel
The Mysterious Story of Lamp Hall
The Ayakashi's Tune
The Ayakashi's Dream Road
Natsume Yuujinchou: Kogitsune no Tabi",1.0,"Jan 4, 2013",2013.0,320.0,3.0,1,12,0,0,No Tag,No Tag,No Tag,0,0,True,2017.0,2.0,https://anilist.co/manga/88203/Natsume-Yuujinchou/,75.55555555555556,1.0,0,1,0,0,0
22,Shitayomi Danshi to Toukou Joshi,下読み男子と投稿女子,Shitayomi Danshi to Toukou Joshi,"Manuscript Screening Boy and Manuscript Submitting Girl: Watched over by the gentle sky, the story of the bashful ocean
ขอตรวจได้ไหม ต้นฉบับจากใจเธอ",1.0,"Jun 29, 2015",2015.0,318.0,9.0,1,1,6,15,No Tag,No Tag,No Tag,0,0,False,2014.0,5.0,https://anilist.co/manga/99952/Shitayomi-Danshi-to-Toukou-Joshi/,76.92307692307692,0.0,0,1,0,0,0
23,Boukensha ni Naritai to Miyako ni Deteitta Musume ga S Rank ni Natteta,冒険者になりたいと都に出て行った娘がＳランクになってた,My Daughter Left the Nest and Returned an S-Rank Adventurer,"My Daughter Grew Up to ""Rank S"" Adventurer.
My Daughter who Left for the Capital to Become an Adventurer Reached S Rank",11.0,"Feb 15, 2018",2018.0,318.0,6.0,1,2,7,0,Seinen,Rural,Male Protagonist,0,0,False,2014.0,13.0,https://anilist.co/manga/102475/Boukensha-ni-Naritai-to-Miyako-ni-Deteitta-Musume-ga-S-Rank-ni-Natteta/,72.54237288135593,0.0,0,1,0,0,0
24,Yari no Yuusha no Yarinaoshi,槍の勇者のやり直し,The Reprise of the Spear Hero,Yari no Yuusha no Yarinaoshi,3.288627450980392,"Sep 25, 2017",2017.0,317.0,5.0,1,4,7,0,No Tag,No Tag,No Tag,0,0,False,2014.0,5.0,https://anilist.co/manga/108437/Yari-no-Yuusha-no-Yarinaoshi/,73.52941176470588,0.0,0,0,0,0,1
25,Kami wa Game ni Ueteiru.,神は遊戯に飢えている。,Gods’ Games We Play,"Kami wa Yuugi ni Uete Iru
Gods are Hungry for Games.
Kamigami ni Idomu Shounen no Kyuukyoku Zunousen
God is Hungry for Game",3.288627450980392,"Jan 25, 2021",2021.0,316.0,14.0,1,4,1,11,No Tag,No Tag,No Tag,#23 Most Popular 2021,0,False,2014.0,5.0,https://anilist.co/manga/128508/Kami-wa-Game-ni-Ueteiru/,76.42857142857143,0.0,0,0,0,0,1
26,Tenseisha no Watashi ni Idonde Kuru Mubou de Yubou na Shoujo no Hanashi,転生者の私に挑んでくる無謀で有望な少女の話,Tenseisha no Watashi ni Idonde Kuru Mubou de Yubou na Shoujo no Hanashi,"About the Reckless Girl Who Kept Challenging a Reborn Man Like Me
เกิดใหม่ทั้งที ต้องมีเธอเป็นคู่ปรับ",3.0,"Nov 30, 2017",2017.0,315.0,21.0,1,7,6,0,No Tag,No Tag,No Tag,#10 Highest Rated 2017,0,False,2014.0,13.0,https://anilist.co/manga/102905/Tenseisha-no-Watashi-ni-Idonde-Kuru-Mubou-de-Yubou-na-Shoujo-no-Hanashi/,86.81318681318682,0.0,0,1,0,0,0
27,Boku wa Isekai de Fuyo Mahou to Shoukan Mahou wo Tenbin ni Kakeru,僕は異世界で付与魔法と召喚魔法を天秤にかける,Another World Survival: Min-Maxing My Support and Summoning Magic!,Boku wa Isekai de Fuyo Mahou to Shoukan Mahou wo Tenbin ni Kakeru,9.0,"Jul 30, 2014",2014.0,315.0,1.0,1,2,7,0,No Tag,No Tag,No Tag,0,0,False,2014.0,13.0,https://anilist.co/manga/86447/Boku-wa-Isekai-de-Fuyo-Mahou-to-Shoukan-Mahou-wo-Tenbin-ni-Kakeru/,66.05263157894737,0.0,0,1,0,0,0
28,"Tensei Kenja no Isekai Life: Daini no Shokugyo wo Ete, Sekai Saikyou ni Narimashita",転生賢者の異世界ライフ ～第二の職業を得て、世界最強になりました～,"Tensei Kenja no Isekai Life: Daini no Shokugyo wo Ete, Sekai Saikyou ni Narimashita","Tensei Kenja no Isekai Life - Daini no Shokugyo wo Ete, Sekai Saikyou ni Narimashita",3.288627450980392,"May 17, 2018",2018.0,315.0,8.0,1,3,2,7,No Tag,No Tag,No Tag,0,0,True,2022.0,14.0,https://anilist.co/manga/106145/Tensei-Kenja-no-Isekai-Life-Daini-no-Shokugyo-wo-Ete-Sekai-Saikyou-ni-Narimashita/,70.3125,1.0,0,0,0,0,1
29,Mahou Sensou,魔法戦争,Mahou Sensou,Magical Warfare,12.0,"Nov 25, 2011",2011.0,315.0,4.0,1,3,7,0,No Tag,No Tag,No Tag,0,0,True,2014.0,2.0,https://anilist.co/manga/85272/Mahou-Sensou/,58.63636363636363,1.0,0,1,0,0,0
30,Suzumiya Haruhi no Bunretsu,涼宮ハルヒの分裂,The Dissociation of Haruhi Suzumiya,Suzumiya Haruhi no Bunretsu,1.0,"Apr 1, 2007",2007.0,314.0,7.0,1,4,9,12,Time Manipulation,Alternate Universe,Kuudere,#6 Highest Rated 2007,#22 Most Popular 2007,False,2014.0,4.0,https://anilist.co/manga/145597/Suzumiya-Haruhi-no-Bunretsu/,85.72815533980582,0.0,0,1,0,0,0
31,Gusha no Endroll,愚者のエンドロール,Gusha no Endroll,"Why didn't she ask EBA?
Koten-bu Series
〈古典部〉シリーズ
บทละครของคนโง่",1.0,"Jul 31, 2002",2002.0,314.0,2.0,1,5,15,0,No Tag,No Tag,No Tag,#6 Highest Rated 2002,#12 Most Popular 2002,True,2012.0,3.0,https://anilist.co/manga/144311/Gusha-no-Endroll/,86.26373626373626,1.0,0,1,0,0,0
32,Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san,ツンデレ悪役令嬢リーゼロッテと実況の遠藤くんと解説の小林さん,Endo and Kobayashi Live! The Latest on Tsundere Villainess Lieselotte,Endo and Kobayashi's Live Commentary on the Villainess,2.0,"Apr 10, 2019",2019.0,314.0,9.0,1,4,7,6,No Tag,No Tag,No Tag,0,0,True,2023.0,12.0,https://anilist.co/manga/117229/Tsundere-Akuyaku-Reijou-Liselotte-to-Jikkyou-no-Endoukun-to-Kaisetsu-no-Kobayashisan/,78.77551020408163,1.0,0,1,0,0,0
33,Itsuka Tenma no Kuro Usagi,いつか天魔の黒ウサギ,Itsuka Tenma no Kuro Usagi,"Itsuka Tenma no Kuro-Usagi
A Dark Rabbit Has Seven Lives
ItsuTen",13.0,"Nov 20, 2008",2008.0,314.0,3.0,1,7,8,6,No Tag,No Tag,No Tag,#25 Most Popular 2008,0,True,2011.0,5.0,https://anilist.co/manga/55210/Itsuka-Tenma-no-Kuro-Usagi/,67.36842105263158,1.0,0,1,0,0,0
34,NARUTO: Takigakure no Shitou Ore ga Hero dattebayo!,NARUTO 滝隠れの死闘 オレが英雄だってばよ!,Naruto - Mission: Protect the Waterfall Village!,"The Waterfall Village's Fight to the Death I am the Hero!
NARUTO: Takigakure no Shitou Ore ga Eiyuu dattebayo!",1.0,"Dec 15, 2003",2003.0,315.0,12.0,1,0,0,0,No Tag,No Tag,No Tag,#14 Highest Rated 2003,#15 Most Popular 2003,True,2003.0,8.0,https://anilist.co/manga/88353/NARUTO-Takigakure-no-Shitou-Ore-ga-Hero-dattebayo/,65.23076923076923,1.0,0,1,0,0,0
35,Propeller Opera,プロペラオペラ,Propeller Opera,"PUROPERAOPERA
ยุทธการเรือรบเหนือเมฆา",5.0,"Sep 18, 2019",2019.0,313.0,8.0,1,3,7,6,No Tag,No Tag,No Tag,0,0,False,2014.0,2.0,https://anilist.co/manga/115860/Propeller-Opera/,71.0,0.0,0,1,0,0,0
36,"Sekkaku Cheat wo Moratte Isekai ni Teni shita n dakara, Suki na You ni Ikitemitai",せっかくチートを貰って異世界に転移したんだから、好きなように生きてみたい,"Sekkaku Cheat wo Moratte Isekai ni Teni shita n dakara, Suki na You ni Ikitemitai",Since I received a cheat and was transported to another world I'm going to live as I want,3.288627450980392,"Nov 30, 2017",2017.0,312.0,8.0,1,11,7,0,No Tag,No Tag,No Tag,0,0,False,2014.0,15.0,https://anilist.co/manga/101284/Sekkaku-Cheat-wo-Moratte-Isekai-ni-Teni-shita-n-dakara-Suki-na-You-ni-Ikitemitai/,60.0,0.0,0,0,0,0,1
37,Shichisei no Subaru,七星のスバル,Seven Senses of the Re'Union,Subaru và vì tinh tú thứ 7,8.0,"Aug 18, 2015",2015.0,311.0,3.0,1,3,7,9,No Tag,No Tag,No Tag,0,0,True,2014.0,3.0,https://anilist.co/manga/100086/Shichisei-no-Subaru/,58.75,1.0,0,1,0,0,0
38,Your Forma: Densa Kukan Echika to Kikai Shikake no Aibou,ユア・フォルマ 電索官エチカと機械仕掛けの相棒,Your Forma,Your Forma: Electronic Investigator Echika and her Amicus ex Machina,3.288627450980392,"Mar 10, 2021",2021.0,282.0,4.0,1,3,1,5,No Tag,No Tag,No Tag,#26 Most Popular 2021,0,False,2014.0,10.0,https://anilist.co/manga/130733/Your-Forma-Densa-Kukan-Echika-to-Kikai-Shikake-no-Aibou/,84.28571428571429,0.0,0,0,0,0,1
39,PSYCHO-PASS 0: Namae no Nai Kaibutsu,PSYCHO-PASS 0 名前のない怪物,PSYCHO-PASS 0: Namae no Nai Kaibutsu,Psycho-Pass Zero: The Monster with no Name,1.0,"Apr 4, 2013",2013.0,282.0,3.0,1,3,9,0,No Tag,No Tag,No Tag,0,0,True,2012.0,6.0,https://anilist.co/manga/86120/PSYCHOPASS-0-Namae-no-Nai-Kaibutsu/,79.0,1.0,0,1,0,0,0
40,Naze Boku no Sekai wo Daremo Oboeteinai no ka?,なぜ僕の世界を誰も覚えていないのか？,Naze Boku no Sekai wo Daremo Oboeteinai no ka?,โลกคู่ขนานกับตำนานวีรบุรุษที่ถูกลืม,9.0,"Jul 25, 2017",2017.0,282.0,6.0,1,3,2,7,No Tag,No Tag,No Tag,0,0,False,2014.0,9.0,https://anilist.co/manga/101763/Naze-Boku-no-Sekai-wo-Daremo-Oboeteinai-no-ka/,76.11111111111111,0.0,0,1,0,0,0
41,Gekijouban ONE PIECE: STAMPEDE,劇場版 ONE PIECE STAMPEDE,Gekijouban ONE PIECE: STAMPEDE,Gekijouban ONE PIECE: STAMPEDE,1.0,"Aug 9, 2019",2019.0,281.0,9.0,2,3,2,4,No Tag,No Tag,No Tag,#27 Highest Rated 2019,0,True,2019.0,4.0,https://anilist.co/manga/128292/Gekijouban-ONE-PIECE-STAMPEDE/,81.0,1.0,0,1,0,0,0
42,"Shousetsu Nanatsu no Taizai: Gaiden - Sekijitsu no Outo, Nanatsu no Negai",小説　七つの大罪　―外伝―　昔日の王都　七つの願い,"Shousetsu Nanatsu no Taizai: Gaiden - Sekijitsu no Outo, Nanatsu no Negai","Kingdom of the Olden Days, the Seven Wishes",1.0,"Dec 17, 2014",2014.0,281.0,1.0,1,3,12,0,No Tag,No Tag,No Tag,0,0,False,2014.0,12.0,https://anilist.co/manga/93592/Shousetsu-Nanatsu-no-Taizai-Gaiden--Sekijitsu-no-Outo-Nanatsu-no-Negai/,77.33333333333333,0.0,0,1,0,0,0
43,Bakemono no Ko,バケモノの子,The Boy and The Beast,Cậu bé & Quái vật,1.0,"Jul 1, 2015",2015.0,281.0,3.0,12,2,7,0,No Tag,No Tag,No Tag,0,0,True,2015.0,3.0,https://anilist.co/manga/95169/Bakemono-no-Ko/,77.4,1.0,0,1,0,0,0
44,Toomawari suru Hina,遠まわりする雛,Toomawari suru Hina,"Little birds can remember
〈古典部〉シリーズ
Koten-bu Series
เจ้าหญิงเดินอ้อม",1.0,"Oct 3, 2007",2007.0,280.0,5.0,1,5,15,0,No Tag,No Tag,No Tag,#8 Highest Rated 2007,#24 Most Popular 2007,True,2012.0,3.0,https://anilist.co/manga/144313/Toomawari-suru-Hina/,87.83783783783784,1.0,0,1,0,0,0
45,Suzumiya Haruhi no Chokkan,涼宮ハルヒの直観,The Intuition of Haruhi Suzumiya,"Random Numbers
Nanafushigi Overtime
Seven Wonders Overtime",1.0,"Nov 25, 2020",2020.0,280.0,6.0,1,4,9,12,No Tag,No Tag,No Tag,#14 Highest Rated 2020,0,False,2014.0,4.0,https://anilist.co/manga/145599/Suzumiya-Haruhi-no-Chokkan/,80.29411764705883,0.0,0,1,0,0,0
46,"In-Cha no Boku ni Batsu Game ni Kokuhaku shitekita Hazu no Gal ga, Doumitemo Boku ni Betabore desu",陰キャの僕に罰ゲームで告白してきたはずのギャルが、どう見ても僕にベタ惚れです,An Introvert's Hookup Hiccups: This Gyaru Is Head Over Heels for Me!,"Inkya no Boku ni Batsu Game ni Kokuhaku Shitekita Hazu no Gyaru ga, Doumitemo Boku ni Betabore Desu
Gal Kokuhaku
No Matter How I Look at It, the Gal who Should Have Only Confessed to me for a Punishment Game Fell in Love With me",3.288627450980392,"Dec 1, 2021",2021.0,280.0,13.0,1,4,6,15,No Tag,No Tag,No Tag,#27 Most Popular 2021,0,False,2014.0,18.0,https://anilist.co/manga/143329/InCha-no-Boku-ni-Batsu-Game-ni-Kokuhaku-shitekita-Hazu-no-Gal-ga-Doumitemo-Boku-ni-Betabore-desu/,79.58333333333333,0.0,0,0,0,0,1
47,Tamako Love Story,たまこラブストーリー,Tamako Love Story,Tamako Love Story,1.0,"Jul 2, 2014",2014.0,280.0,5.0,12,6,15,0,No Tag,No Tag,No Tag,0,0,True,2014.0,3.0,https://anilist.co/manga/91293/Tamako-Love-Story/,79.5,1.0,0,1,0,0,0
48,Monku no Tsukeyou ga Nai Love Come,文句の付けようがないラブコメ,Monku no Tsukeyou ga Nai Love Come,"Monku no Tsukeyou ga Nai Love Comedy
Monku no Tsukeyou ga nai Rabukome
MonRabu
Never Ending Story",7.0,"Nov 21, 2014",2014.0,280.0,2.0,1,4,1,6,No Tag,No Tag,No Tag,0,0,False,2014.0,7.0,https://anilist.co/manga/93071/Monku-no-Tsukeyou-ga-Nai-Love-Come/,66.96969696969697,0.0,0,1,0,0,0
49,"Yuri no Aida ni Hasamareta Watashi ga, Ikioi de Futamata Shite Shimatta Hanashi",百合の間に挟まれたわたしが、勢いで二股してしまった話,Yuri Tama: From Third Wheel to Trifecta,"Yuritama
อยู่ท่ามกลางทุ่งลิลี่ รู้ตัวอีกที ก็เผลอเหมาสองซะแล้ว",3.288627450980392,"Nov 25, 2021",2021.0,279.0,10.0,1,4,6,0,No Tag,No Tag,No Tag,#28 Most Popular 2021,0,False,2014.0,13.0,https://anilist.co/manga/142001/Yuri-no-Aida-ni-Hasamareta-Watashi-ga-Ikioi-de-Futamata-Shite-Shimatta-Hanashi/,81.33333333333333,0.0,0,0,0,0,1
50,Kujibiki Tokushou: Musou Harem-ken,くじ引き特賞：無双ハーレム権,Kujibiki Tokushou: Musou Harem-ken,"Lottery Grand Prize: Peerless Harem Rights
Grand Prize: Unrivalled Harem Ticket
เฮงชะมัด : จัดฮาเรมไม่อั้น",13.0,"Apr 15, 2016",2016.0,279.0,6.0,1,2,4,7,No Tag,No Tag,No Tag,0,0,False,2014.0,4.0,https://anilist.co/manga/97013/Kujibiki-Tokushou-Musou-Haremken/,66.66666666666667,0.0,0,1,0,0,0
51,Futari no Kyori no Gaisan,ふたりの距離の概算,Futari no Kyori no Gaisan,"It walks by past
Koten-bu Series
〈古典部〉シリーズ
ระยะห่างระหว่างเราสอง",1.0,"Jun 25, 2010",2010.0,278.0,8.0,1,5,15,0,No Tag,No Tag,No Tag,#11 Highest Rated 2010,#29 Most Popular 2010,False,2014.0,5.0,https://anilist.co/manga/144314/Futari-no-Kyori-no-Gaisan/,86.66666666666667,0.0,0,1,0,0,0
52,Mashle: Mash Burnedead to Bouken no Sho,マッシュル マッシュ・バーンデッドと冒険の書,Mashle: Mash Burnedead to Bouken no Sho,Mashle: Mash Burnedead to Bouken no Sho,3.288627450980392,"May 2, 2022",2022.0,278.0,10.0,1,3,4,7,No Tag,No Tag,No Tag,#5 Most Popular 2022,0,False,2014.0,7.0,https://anilist.co/manga/146533/Mashle-Mash-Burnedead-to-Bouken-no-Sho/,88.0,0.0,0,0,0,0,1
53,Akuyaku Reijou no Shitsuji-sama: Hametsu Flag wa Ore ga Tsubusasete Itadakimasu,悪役令嬢の執事様 破滅フラグは俺が潰させていただきます,Akuyaku Reijou no Shitsuji-sama: Hametsu Flag wa Ore ga Tsubusasete Itadakimasu,"悪役令嬢の執事様　～俺が育てた彼女はとても可愛い～
The Villainous Daughter’s Valet: I Raised Her to Be Very Cute
Akuyaku Reijou no Shitsuji-sama: Ore ga Sodateta Kanojo wa Totemo Kawaii
The Villainous Daughter’s Butler: I’ll Crush the Destruction Flags",3.288627450980392,"Apr 30, 2020",2020.0,277.0,15.0,1,1,7,6,No Tag,No Tag,No Tag,0,0,False,2014.0,11.0,https://anilist.co/manga/126362/Akuyaku-Reijou-no-Shitsujisama-Hametsu-Flag-wa-Ore-ga-Tsubusasete-Itadakimasu/,78.44444444444444,0.0,0,0,0,0,1
